Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543711,Sula Vineyards Limited,SULA,Sula Vineyards Ltd,Active,A ,2.00,INE142Q01026,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
543714,LANDMARK CARS LIMITED,LANDMARK,Landmark Cars Ltd,Active,A ,5.00,INE559R01029,Auto -Dealer,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto -Dealer
543720,KFin Technologies Limited,KFINTECH,KFin Technologies Ltd,Active,A ,10.00,INE138Y01010,Depositories- Clearing Houses and Other Intermediaries,Equity,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
543748,Aarti Pharmalabs Limited,AARTIPHARM,Aarti Pharmalabs Ltd,Active,A ,5.00,INE0LRU01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543768,NMDC Steel Limited,NSLNISP,NMDC Steel Ltd,Active,A ,10.00,INE0NNS01018,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
543896,Avalon Technologies Limited,AVALON,Avalon Technologies Ltd,Active,A ,2.00,INE0LCL01028,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
543932,IDEAFORGE TECHNOLOGY LIMITED,IDEAFORGE,Ideaforge Technology Ltd,Active,A ,10.00,INE349Y01013,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
543933,Cyient DLM Limited,CYIENTDLM,Cyient DLM Ltd,Active,A ,10.00,INE055S01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
543940,Jio Financial Services Limited,JIOFIN,Jio Financial Services Ltd,Active,A ,10.00,INE758E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543942,UTKARSH SMALL FINANCE BANK LIMITED,UTKARSHBNK,Utkarsh Small Finance Bank Ltd,Active,A ,10.00,INE735W01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank
543945,NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB,Netweb Technologies India Ltd,Active,A ,2.00,INE0NT901020,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
543947,DSP Mutual Fund,SENSEXADD,DSP BSE Sensex ETF,Active,A ,10.00,INF740KA1SZ6, ,Equity,-,-,-,-
543952,NIIT Learning Systems Limited,NIITMTS,NIIT Learning Systems Ltd,Active,A ,2.00,INE342G01023,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
543957,REDTAPE Limited,REDTAPE,Redtape Ltd,Active,A ,2.00,INE0LXT01019,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
543959,SBFC Finance Limited,SBFC,SBFC Finance Ltd,Active,A ,10.00,INE423Y01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543960,Concord Biotech Limited,CONCORDBIO,Concord Biotech Ltd,Active,A ,1.00,INE338H01029,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543965,TVS Supply Chain Solutions Limited,TVSSCS,TVS Supply Chain Solutions Ltd,Active,A ,1.00,INE395N01027,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543981,R R KABEL LIMITED,RRKABEL,R R Kabel Ltd,Active,A ,5.00,INE777K01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
543984,Samhi Hotels Limited,SAMHI,Samhi Hotels Ltd,Active,A ,1.00,INE08U801020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
543989,Sai Silks (Kalamandir) Limited,KALAMANDIR,Sai Silks (Kalamandir) Ltd,Active,A ,2.00,INE438K01021,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
543990,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE,Signatureglobal (India) Ltd,Active,A ,1.00,INE903U01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543999,Mirae Asset Mutual Fund,SENSEXETF,Mirae Asset S&P BSE Sensex ETF,Active,A ,10.00,INF769K01KT9, ,Equity,-,-,-,-
544274,HYUNDAI MOTOR INDIA LIMITED,HYUNDAI,Hyundai Motor India Ltd,Active,A ,10.00,INE0V6F01027,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
555555,ICICI Prudential Mutual Fund,SENSEXIETF,ICICI Prudential BSE Sensex ETF,Active,A ,10.00,INF346A01034,Mutual Fund Scheme - ETF,Equity,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
890157,Bharti Airtel  Ltd.,AIRTELPP,Bharti Airtel  Ltd,Active,A ,5.00,IN9397D01014, ,Equity,-,-,-,-
890190,Grasim Industries Ltd,GRASIMPP,Grasim Industries Ltd,Active,A ,2.00,IN9047A01029, ,Equity,-,-,-,-
890205,Sobha Limited,SOBHAPP,Sobha Ltd,Active,A ,10.00,IN9671H01013, ,Equity,-,-,-,-
